,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
9,2306002,307197,572037,343072,19468,231980,736819,617449,137592,577549,201734,62460,615005,375591,892630,507188 ,66848,141800,41720,1460525,380261,105427,91750,251693,4842,1912800
10,1850635,1517924,175329,1696673,82453,821067,1568526,140083,937923,749440,1194286,79890,921847,5992717,4102216,1826419 ,192836,884300,38712,477298,176104,147849,1148672,149524,9997,3998300
11,916254,259829,4451512,242409,9668,15830,117714,17088,78981,500783,3174,365688,10131593,201033,15877086,16961 ,452,2454600,576076,1226645,18233,13186,264683,694916,2161,13694100
12,20185887,6231092,1616883,12536755,870020,3017872,10901877,2885698,2227491,11593064,1588660,1209437,22071580,15145424,18380549,7338717 ,380682,7173200,1105865,12027092,1426074,1852282,4896453,6481023,931065,30171900
13,2930979,672305,450719,1766390,57463,126150,5713939,600644,490666,424680,1168021,334292,2939707,3508050,634129,2728588 ,1061145,10317400,77587,2775169,809066,185108,1241273,321831,33168,8443700
14,11284463,2495353,109867,576170,0,159440,6225957,461431,3402900,7312465,752353,6329,274185,3192822,1655044,5679976 ,1770,74900,0,5416332,18234,12521,1138560,95894,15089,239900
15,12152419,1170029,2551404,1837726,86547,896337,5754531,2909554,1054308,3524250,1222673,181145,1451638,2352775,4377715,2175443 ,964978,1730500,85762,5051046,1340431,1647834,1146070,739518,33104,8881300
16,5926316,2143631,1803096,3888073,887084,3028588,5539090,2934520,4113105,4975737,1697753,1300940,3489965,5342643,3251790,2266907 ,235638,1498300,1494183,3804008,3688651,1444286,3772838,2187795,336769,6004200
17,21975073,4256452,41289,12749155,891299,356449,1535363,1126987,1943826,3099773,1135933,11822972,9254266,978962,4030523,866639 ,33973,1956900,1019657,13157737,2746429,623651,3324491,2324407,29976,12334200
18,7119940,1364176,102551,4332248,967551,1149962,4230860,422539,855403,690306,1830224,180465,2342143,1540529,8127866,3774537 ,252803,921600,12846386,11799059,2328642,1277162,2771383,2582747,0,3625900
19,11315491,3493628,673360,5317798,164306,1809829,5338463,3598998,1696227,3311635,5018234,1399311,2290039,7955221,6334545,1341914 ,428911,5683800,134294,8429952,1814156,848507,4667970,2381565,86395,9742500
20,26962237,3323632,949658,7381554,140150,1108869,10078504,3500893,2978674,5484387,1998122,1637474,4804251,11257748,9567165,4902076 ,1517883,4671800,138532,11522080,2811966,994653,5645247,1141299,152584,28880600
21,14034082,2467439,664197,7075278,161516,831322,2319800,2326046,928512,1643596,632376,698233,2509993,4414184,5797632,2716308 ,670166,3860700,129210,7611786,1166026,367792,3645343,2494067,387199,12540300
22,19105235,7510976,889371,4971056,73862,2137197,7320158,7589484,910854,2368103,2622592,669598,16620106,2254247,25121898,1438284 ,1723512,2768400,240500,11040373,8757871,810992,6821595,2515944,294028,68320700
23,3089873,1177323,39796,4023354,21650,212455,669403,188041,66667,113139,1007621,38926,2409370,5046025,1272951,242134 ,301441,5288700,104857,2481811,439345,17776,209509,1348525,1457065,7079000
24,25057837,13601342,764182,20430698,404108,5410115,11469457,13612959,5358701,7333213,2185184,1250231,11060951,19265812,19997093,4849012 ,691506,6393900,1163123,22232579,8187966,853638,4143784,5904139,98712,22397400
25,102316137,2802218,266049,8362424,132243,2723752,20670801,16489105,776817,6728970,1568734,317595,13391845,7497246,9831173,1054307 ,246151,2947900,319866,22619005,2480925,796919,2435092,2729767,9792,54675800
26,4689270,3076512,46085,2263682,809,287282,2822209,347900,156129,597130,241799,57079,3475017,4642582,2690604,201977 ,185591,883700,29089,1319004,384559,64492,1370533,384236,95468,4141400
27,141352,604296,495001,4967,62856,3586,183134,157642,130759,257556,277399,26166,24414,14200,347562,291401 ,138812,37100,16711,108160,33977,13770,21134,55174,0,468100
